 libmm-glib, ModemManager library
 libmms, MMS stream protocol library
 libmng, A collection of routines used to create and manipulate MNG format graphics files
 libmnl, Minimalistic user-space library oriented to Netlink developers.
 libmodplug, A MOD playing library
 libmpc, Library for the arithmetic of complex numbers with arbitrarily high precision
 libmpcdec, MusePack decoding library
 libmpdclient, C library to implement a MPD client
 libmpeg2, Library for decoding MPEG-1 and MPEG-2 video streams
 libmspub, Microsoft Publisher file format parser library (latest snapshot)
 libmtp, Library implementation of the Media Transfer Protocol
 libmupdf, Library for Lightweight PDF and XPS viewer
 libmwaw, Import library for some old mac text documents.
 libmypaint, Library for making brushstrokes which is used by MyPaint and other projects
 libmysofa, C library to read HRTFs if they are stored in the AES69-2015 SOFA format
 libnautilus-extension, Extension interface for Nautilus
 libndp, Library for Neighbor Discovery Protocol
 libnet, A library which provides API for commonly used low-level net functions
 libnetfilter_conntrack, Library providing an API to the in-kernel connection tracking state table
 libnewt, Not Erik's Windowing Toolkit - text mode windowing with slang
 libnfnetlink, Low-level library for netfilter related kernel/userspace communication
 libnfs, client library for accessing NFS shares
 libnftnl, Netfilter library providing interface to the nf_tables subsystem
 libnghttp2, Framing layer of HTTP/2 is implemented as a reusable C library
 libnghttp3, HTTP/3 library written in C
 libngtcp2, Implementation of IETF QUIC protocol
 libnice, An implementation of the IETF's draft ICE (for p2p UDP data streams)
 libnl, Library for applications dealing with netlink sockets
 libnm, NetworkManager client library
 libnma, NetworkManager GUI client library (GTK3)
 libnma-common, NetworkManager GUI client library (common files)
 libnotify, Library for sending desktop notifications
 libnsl, Public client interface library for NIS(YP)
 libnumbertext, Number to number name and money text conversion library
 libnvme, C Library for NVM Express on Linux
 libodfgen, Library for generating documents in Open Document Format
 libogg, Ogg bitstream and framing library
 libomxil-bellagio, An opensource implementation of the OpenMAX Integration Layer API
 libopenmpt, A library to render tracker music to a PCM audio stream
 liborcus, File import filter library for spreadsheet documents.
 libp11-kit, Loads and enumerates PKCS#11 modules (library)
 libpagemaker, a library that parses the file format of Aldus/Adobe PageMaker documents
 libpaper, Library for handling paper characteristics
 libpcap, A system-independent interface for user-level packet capture
 libpciaccess, X11 PCI access library
 libpgm, Library implementing the Pragmatic General Multicast (PGM RFC3208) reliable transport protocol (OpenPGM)
 libpipeline, a C library for manipulating pipelines of subprocesses in a flexible and convenient way
 libpipewire, Low-latency audio/video router and processor - client library
 libplacebo, Reusable library for GPU-accelerated video/image rendering primitives
 libplist, Library to handle Apple Property List files
 libpng, A collection of routines used to create PNG format graphics files
 libportal, GIO-style async APIs for most Flatpak portals
 libportal-gtk4, GIO-style async APIs for most Flatpak portals - GTK 4 backend
 libppd, OpenPrinting - the legacy support library for PPD files
 libproxy, Automatic proxy configuration management library
 libpsl, Public Suffix List library
 libpulse, A featureful general-purpose sound server (client library)
 libqxp, a library that parses the file format of QuarkXPress documents
 libraqm, A library that encapsulates the logic for complex text layout
 libratbag, A DBus daemon to configure gaming mice
 libraw, A library for reading RAW files obtained from digital photo cameras (CRW/CR2 NEF RAF DNG and others)
 libraw1394, Provides an API to the Linux IEEE1394 (FireWire) driver
 libreoffice-fresh, LibreOffice branch which contains new features and program enhancements
 librevenge, library for REVerses ENGineered formats filters
 librsvg, SVG rendering library
 librsync, Library for calculating and applying network deltas
 libsamplerate, An audio sample rate conversion library
 libsasl, Cyrus Simple Authentication Service Layer (SASL) library
 libsass, C implementation of Sass CSS preprocessor (library)
 libseccomp, Enhanced seccomp library
 libsecret, Library for storing and retrieving passwords and other secrets
 libshout, Library for accessing a shoutcast/icecast server
 libsidplayfp, Library to play Commodore 64 music
 libsigc++, Callback Framework for C++
 libsigc++-3.0, Callback Framework for C++
 libsigsegv, Page fault detection library
 libsixel, Provides a codec for DEC SIXEL graphics and some converter programs
 libsm, X11 Session Management library
 libsndfile, A C library for reading and writing files containing sampled audio data
 libsodium, A modern portable easy to use crypto library
 libsoup, HTTP client/server library for GNOME
 libsoup3, HTTP client/server library for GNOME
 libsoxr, The SoX Resampler library that aims to give fast and high quality results for any constant resampling ratio
 libspectre, Small library for rendering Postscript documents
 libspiro, Library that simplifies the drawing of beautiful curves
 libssh, Library for accessing ssh client services through C libraries
